达人名称,合作品牌,行业,产品,合作形式,内容主题,传播目标,是否成功,复用建议,媒介备注
智驾老王,蔚来,汽车,智能座舱,测评,新能源SUV智驾体验,技术解释者,success,适合新能源新品预热和技术解释,评论区关注智驾安全表述
智驾老王,小鹏,汽车,城市NOA,场景体验,城市通勤智驾实测,专业背书,success,适合智能化功能传播,需提前确认试驾档期
城市通勤研究所,理想,汽车,家庭SUV,种草,一二线城市家庭通勤场景,搜索沉淀,success,适合生活方式向种草和搜索沉淀,真实体验感强
城市通勤研究所,特斯拉,汽车,Model Y,真实体验,城市通勤与露营场景,品牌故事转译,partial,适合生活方式叙事但争议话题需规避,注意价格讨论区引导
AIGC视觉实验室,华为,3C数码,旗舰手机,创意TVC,科技感视觉大片,议题引爆,success,适合高端品牌视觉表达,需补足真实体验段落
AIGC视觉实验室,极氪,汽车,纯电SUV,视觉大片,未来感座舱视觉表达,圈层扩散,success,适合新品发布视觉预热,报价偏高需核实
科技产品经理Leo,飞书,AI软件,协作产品,专业科普,ToB效率工具深度解释,高知信任入口,success,适合B端信任和用户教育,深度稿周期较长
科技产品经理Leo,钉钉,AI软件,企业协作,口播解释,企业数字化效率,专业背书,success,适合职场与效率议题,不适合硬广口播
成分党小夏,兰蔻,美妆护肤,抗老精华,测评,成分与功效真实测评,品牌背书,success,适合美妆种草和成分解释,需控制功效表述
成分党小夏,修丽可,美妆护肤,修护精华,种草,敏感肌修护体验,搜索沉淀,success,适合成分党和搜索沉淀,配合度高
